tconst,primary_title,start_year,genres,runtime_minutes,directors,writers,averagerating,numvotes
tt0069049,The Other Side of the Wind,2018,Drama,122.0,nm0000080,"nm0000080,nm0462648",6.9,4517
tt0315642,Wazir,2016,"Action,Crime,Drama",103.0,nm2349060,"nm7430071,nm1249226,nm0006765,nm0430785,nm2349060,nm5241801,nm7841666,nm3871075",7.1,15378
tt0360556,Fahrenheit 451,2018,"Drama,Sci-Fi,Thriller",100.0,nm1023919,"nm0001969,nm1023919,nm0618881",4.9,14469
tt0365545,Nappily Ever After,2018,"Comedy,Drama,Romance",98.0,nm2223783,"nm0111845,nm10021676,nm1946260",6.4,6287
tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",114.0,nm0291082,"nm0088747,nm0291082",6.5,105116
tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",124.0,nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",7.0,539338
tt0376479,American Pastoral,2016,"Crime,Drama",108.0,nm0000191,"nm0744980,nm0738908",6.1,12898
tt0420293,The Stanford Prison Experiment,2015,"Biography,Drama,History",122.0,nm1547859,"nm0848003,nm1674354",6.9,32591
tt0435651,The Giver,2014,"Drama,Romance,Sci-Fi",97.0,nm0637518,"nm2276729,nm0004332,nm0523342",6.5,104999
tt0443465,Before We Go,2014,"Comedy,Drama,Romance",95.0,nm0262635,"nm0060103,nm2267102,nm1281191,nm1343759",6.8,45181
tt0451279,Wonder Woman,2017,"Action,Adventure,Fantasy",141.0,nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936",7.5,487527
tt0455944,The Equalizer,2014,"Action,Crime,Thriller",132.0,nm0298807,"nm0921013,nm0805994,nm2030456",7.2,302302
tt0458413,A Long Way Down,2014,"Comedy,Drama",96.0,nm0154312,"nm0394984,nm2113666",6.4,29260
tt0458481,Sin City: A Dame to Kill For,2014,"Crime,Thriller",102.0,"nm0588340,nm0001675",nm0588340,6.5,140666
tt0460890,The Only Living Boy in New York,2017,Drama,89.0,nm1989536,nm1615610,6.3,8727
tt0462335,High-Rise,2015,"Drama,Horror,Sci-Fi",119.0,nm1296554,"nm4207229,nm0050618",5.6,33746
tt0470752,Ex Machina,2014,"Drama,Mystery,Sci-Fi",108.0,nm0307497,nm0307497,7.7,424542
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",106.0,"nm0001053,nm0001054","nm0001054,nm0001053",6.3,111422
tt0478970,Ant-Man,2015,"Action,Adventure,Comedy",117.0,nm0715636,"nm0942367,nm0180428,nm0570912,nm0748620,nm0498278,nm1293367,nm0456158",7.3,501213
tt0490215,Silence,2016,"Adventure,Drama,History",161.0,nm0000217,"nm0168379,nm0000217,nm0256870",7.2,85242
tt0491175,Suburbicon,2017,"Comedy,Crime,Drama",105.0,nm0000123,"nm0001054,nm0001053,nm0000123,nm0381416",5.6,31294
tt0491203,Tulip Fever,2017,"Drama,History,Romance",105.0,nm0149491,"nm0595738,nm0001779",6.2,15037
tt0493405,CHIPS,2017,"Action,Comedy,Crime",100.0,nm1009277,"nm0743121,nm1009277",6.0,37029
tt0498381,Rings,2017,"Drama,Horror,Mystery",102.0,nm1279573,"nm0521649,nm1096524,nm0326040,nm0840626",4.5,34151
tt0775440,Cell,2016,"Action,Drama,Horror",98.0,nm0931095,"nm0000175,nm2085654",4.3,21968
tt0780548,Kid Cannabis,2014,"Biography,Comedy,Crime",110.0,nm0007082,"nm0007082,nm5151554",6.4,8924
tt0787474,The Boxtrolls,2014,"Adventure,Animation,Comedy",96.0,"nm0030253,nm0820934","nm0109267,nm1106082,nm2223296,nm0820934,nm0197767,nm2280596",6.8,50763
tt0787524,The Man Who Knew Infinity,2015,"Biography,Drama",108.0,nm0114226,"nm0114226,nm2216692",7.2,43575
tt0790770,Miles Ahead,2015,"Biography,Drama,Music",100.0,nm0000332,"nm0047076,nm0000332,nm0729151,nm0929349",6.4,8498
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",123.0,nm1512910,"nm0495378,nm1512910",6.9,225557
tt0810819,The Danish Girl,2015,"Biography,Drama,Romance",119.0,nm0393799,"nm0185309,nm2286442",7.1,146873
tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",169.0,nm0634240,"nm0634300,nm0634240",8.6,1299334
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",88.0,nm2371848,"nm0666248,nm1097152,nm4505803",3.7,3913
tt0829150,Dracula Untold,2014,"Action,Drama,Fantasy",92.0,nm2411495,"nm1948885,nm2332952,nm0831290",6.3,164829
tt0831387,Godzilla,2014,"Action,Adventure,Sci-Fi",123.0,nm2284484,"nm1440919,nm1709264,nm0393094,nm0613609,nm0443227,nm0001104,nm0333060",6.4,350687
tt0837156,Pee-wee's Big Holiday,2016,"Adventure,Comedy,Family",90.0,nm0497563,"nm0000607,nm1770256",6.2,6362
tt0859635,Super Troopers 2,2018,"Comedy,Crime,Mystery",99.0,nm0151540,"nm0151540,nm0373571,nm0501399,nm0815418,nm0831479",6.1,20104
tt0864835,Mr. Peabody & Sherman,2014,"Adventure,Animation,Comedy",92.0,nm0591450,"nm0911599,nm1362905,nm0304830,nm0502073,nm0450774,nm0567112",6.8,57277
tt0884732,The Wedding Ringer,2015,Comedy,101.0,nm1275670,"nm1275670,nm1191891",6.7,66893
tt0900387,Suite Française,2014,"Drama,Romance,War",107.0,nm1314116,"nm1314116,nm4131020,nm0625965",7.0,19978
tt0903657,Love & Mercy,2014,"Biography,Drama,Music",121.0,nm0688361,"nm0610219,nm0503629,nm0933092",7.4,32238
tt0910885,A Merry Friggin' Christmas,2014,Comedy,88.0,nm0788426,nm1601882,5.1,5415
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",110.0,nm0946734,"nm3092414,nm0108132,nm0123194",6.3,150154
tt0974015,Justice League,2017,"Action,Adventure,Fantasy",120.0,nm0811583,"nm0796950,nm0795975,nm0006516,nm0811583,nm0923736,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158",6.5,329135
tt0995868,Pelé: Birth of a Legend,2016,"Biography,Drama,Sport",107.0,"nm3104562,nm1905310","nm1905310,nm3104562",7.2,13919
tt1014763,Child 44,2015,"Crime,Drama,History",137.0,nm1174251,"nm0697115,nm1602547,nm1195553",6.5,59477
tt1018765,Our Brand Is Crisis,2015,"Comedy,Drama",107.0,nm0337773,"nm1354496,nm1661186",6.1,19033
tt1020072,Selma,2014,"Biography,Drama,History",128.0,nm1148550,nm2298096,7.5,77633
tt1029360,Poltergeist,2015,"Horror,Thriller",93.0,nm1481493,"nm1865755,nm0000229,nm0334457,nm0896131",4.9,51538
tt1034385,Cold Skin,2017,"Adventure,Horror,Sci-Fi",108.0,nm1164755,"nm0647449,nm1142688,nm1985063",6.0,9059
tt1034415,Suspiria,2018,"Fantasy,Horror,Mystery",152.0,nm0345174,"nm0000783,nm0630453,nm1738734",6.8,37360
tt1043726,The Legend of Hercules,2014,"Action,Adventure,Fantasy",99.0,nm0001317,"nm0393517,nm0316417,nm0001317,nm1048866",4.2,50352
tt1051904,Goosebumps,2015,"Adventure,Comedy,Family",103.0,nm1224299,"nm0501359,nm0018735,nm0438989,nm0830419",6.3,72858
tt1065073,Boyhood,2014,Drama,165.0,nm0000500,nm0000500,7.9,315584
tt1072748,Winchester,2018,"Biography,Drama,Fantasy",99.0,"nm1294962,nm1294961","nm1129343,nm1294961,nm1294962",5.4,24351
tt1082807,The Belko Experiment,2016,"Horror,Thriller",89.0,nm0572562,nm0348181,6.1,38378
tt1083452,Eddie the Eagle,2015,"Biography,Comedy,Drama",106.0,nm0002077,"nm2306331,nm2035069",7.4,75331
tt1085492,The Prince,2014,"Action,Thriller",93.0,nm2357819,"nm1061002,nm0664920",4.6,16048
tt1086772,Blended,2014,"Comedy,Romance",117.0,nm0178997,"nm0578771,nm0784771",6.5,106491
tt1100089,Foxcatcher,2014,"Biography,Drama,Sport",134.0,nm0587955,"nm0296861,nm0001246",7.0,125954
tt1109624,Paddington,2014,"Adventure,Comedy,Family",95.0,nm1653753,"nm1653753,nm0566100,nm1286491",7.2,84679
tt1121096,Seventh Son,2014,"Action,Adventure,Fantasy",102.0,nm0091076,"nm0495378,nm1140275,nm0338557,nm2796716",5.5,66565
tt1124037,Free State of Jones,2016,"Action,Biography,Drama",139.0,nm0002657,"nm0002657,nm0366989",6.9,45135
tt1126590,Big Eyes,2014,"Biography,Crime,Drama",106.0,nm0000318,"nm0018735,nm0438989",7.0,77447
tt1131724,2:22,2017,Thriller,98.0,nm0192984,"nm2089442,nm2914162",5.8,16318
tt1137450,Death Wish,2018,"Action,Crime,Drama",107.0,nm0744834,"nm0138620,nm0307257,nm0562606",6.4,50279
tt1137470,Accidental Love,2015,"Comedy,Romance",100.0,nm0751102,"nm0330751,nm0799052,nm1001124",4.1,7048
tt1139592,Jeepers Creepers III,2017,"Action,Horror,Mystery",100.0,nm0759207,nm0759207,4.1,14586
tt1172049,Demolition,2015,"Comedy,Drama",101.0,nm0885249,nm1032743,7.0,78099
tt1178665,A Walk in the Woods,2015,"Adventure,Biography,Comedy",104.0,nm0477129,"nm1578335,nm2250139,nm0117445",6.3,22033
tt1179031,Cold in July,2014,"Crime,Thriller",109.0,nm0585344,"nm0198804,nm0585344,nm0487067",6.8,32084
tt1179933,10 Cloverfield Lane,2016,"Drama,Horror,Mystery",103.0,nm0870469,"nm1061091,nm1173295,nm3227090",7.2,260383
tt1183374,Pet,2016,"Horror,Thriller",94.0,nm2165066,nm2916300,5.7,13955
tt1188982,Jai Ho,2014,"Action,Drama",135.0,nm0451326,"nm1436693,nm0795651",5.3,15531
tt1198156,You're Not You,2014,Drama,102.0,nm0938045,"nm0275277,nm1471001,nm2947761",7.4,22156
tt1204977,Ouija,2014,"Horror,Mystery,Thriller",89.0,nm0925482,"nm1340000,nm0925482",4.5,44054
tt1205537,Jack Ryan: Shadow Recruit,2014,"Action,Drama,Thriller",105.0,nm0000110,"nm3092414,nm0462895,nm0002007",6.2,114913
tt1211837,Doctor Strange,2016,"Action,Adventure,Fantasy",115.0,nm0220600,"nm3123612,nm0220600,nm1803036,nm0498278,nm0228492",7.5,514510
tt1212428,The Lost City of Z,2016,"Adventure,Biography,Drama",141.0,nm0336695,"nm0336695,nm2970418",6.6,66475
tt1213641,First Man,2018,"Biography,Drama,History",141.0,nm3227090,"nm1802857,nm2973253",7.4,120009
